E:\coinbase>python main.py
2025-12-30 18:43:27.243717+00:00 Connection Opened!
2025-12-30 18:45:47.196876+00:00 SELL:MON-USDC:4329@0.02158 => BUY:MON-USDC:4329@0.02152
2025-12-30 18:47:24.415335+00:00 SELL:MON-USDC:4329@0.02159 => BUY:MON-USDC:4329@0.02153
2025-12-30 18:48:49.916735+00:00 SELL:MON-USDC:13291@0.02158 => BUY:MON-USDC:13291@0.02152
2025-12-30 18:53:24.433405+00:00 SELL:MON-USDC:13291@0.02159 => BUY:MON-USDC:13291@0.02153
2025-12-30 18:53:30.157823+00:00 SELL:MON-USDC:13291@0.0216 => BUY:MON-USDC:13291@0.02154
2025-12-30 18:54:16.910931+00:00 SELL:MON-USDC:13291@0.02161 => BUY:MON-USDC:13291@0.02155
2025-12-30 18:54:23.154308+00:00 SELL:MON-USDC:13291@0.02162 => BUY:MON-USDC:13291@0.02156
2025-12-30 18:54:25.164108+00:00 SELL:MON-USDC:13291@0.02163 => BUY:MON-USDC:13291@0.02157
2025-12-30 18:55:51.923242+00:00 SELL:MON-USDC:13291@0.02164 => BUY:MON-USDC:13291@0.02158
2025-12-30 18:55:59.946331+00:00 SELL:MON-USDC:13291@0.02165 => BUY:MON-USDC:13291@0.02159
2025-12-30 18:56:07.924754+00:00 SELL:MON-USDC:13291@0.02166 => BUY:MON-USDC:13291@0.02160
2025-12-30 18:56:26.591192+00:00 SELL:MON-USDC:13291@0.02167 => BUY:MON-USDC:13291@0.02160
2025-12-30 18:56:26.745937+00:00 SELL:MON-USDC:13291@0.02168 => BUY:MON-USDC:13291@0.02161
2025-12-30 18:57:05.674471+00:00 SELL:MON-USDC:13291@0.02169 => BUY:MON-USDC:13291@0.02162
2025-12-30 18:59:04.907205+00:00 SELL:MON-USDC:13291@0.0217 => BUY:MON-USDC:13291@0.02163
2025-12-30 19:01:02.722327+00:00 BUY:MON-USDC:13291@0.02163 => SELL:MON-USDC:13291@0.02185
2025-12-30 19:01:32.412368+00:00 BUY:MON-USDC:13291@0.02162 => SELL:MON-USDC:13291@0.02184
2025-12-30 19:01:53.138820+00:00 BUY:MON-USDC:13291@0.02161 => SELL:MON-USDC:13291@0.02183
2025-12-30 19:02:09.405089+00:00 BUY:MON-USDC:13291@0.0216 => SELL:MON-USDC:13291@0.02182
2025-12-30 19:02:09.586791+00:00 BUY:MON-USDC:13291@0.0216 => SELL:MON-USDC:13291@0.02182
2025-12-30 19:02:26.653795+00:00 BUY:MON-USDC:13291@0.02159 => SELL:MON-USDC:13291@0.02181
2025-12-30 19:02:26.834070+00:00 BUY:MON-USDC:13291@0.02158 => SELL:MON-USDC:13291@0.02180
2025-12-30 19:05:33.914460+00:00 BUY:MON-USDC:13291@0.02157 => SELL:MON-USDC:13291@0.02179
2025-12-30 19:05:34.122535+00:00 BUY:MON-USDC:13291@0.02156 => SELL:MON-USDC:13291@0.02178
2025-12-30 19:05:35.890644+00:00 BUY:MON-USDC:13291@0.02155 => SELL:MON-USDC:13291@0.02177
2025-12-30 19:06:02.511775+00:00 BUY:MON-USDC:13291@0.02154 => SELL:MON-USDC:13291@0.02176
2025-12-30 19:06:02.773415+00:00 BUY:MON-USDC:13291@0.02153 => SELL:MON-USDC:13291@0.02175
2025-12-30 19:06:22.643403+00:00 BUY:MON-USDC:13291@0.02152 => SELL:MON-USDC:13291@0.02174
2025-12-30 19:46:22.628478+00:00 SELL:MON-USDC:13291@0.02171 => BUY:MON-USDC:13291@0.02164
2025-12-30 19:46:57.069342+00:00 SELL:MON-USDC:13291@0.02173 => BUY:MON-USDC:13291@0.02166
2025-12-30 19:46:57.221073+00:00 SELL:MON-USDC:13291@0.02172 => BUY:MON-USDC:13291@0.02165
2025-12-30 19:46:57.411035+00:00 SELL:MON-USDC:13291@0.02174 => BUY:MON-USDC:13291@0.02167
2025-12-30 19:46:57.587351+00:00 SELL:MON-USDC:13291@0.02174 => BUY:MON-USDC:13291@0.02167
2025-12-30 19:52:34.586400+00:00 BUY:MON-USDC:13291@0.02167 => SELL:MON-USDC:13291@0.02189
2025-12-30 19:54:58.292571+00:00 BUY:MON-USDC:13291@0.02167 => SELL:MON-USDC:13291@0.02189
2025-12-30 19:56:05.290069+00:00 BUY:MON-USDC:13291@0.02166 => SELL:MON-USDC:13291@0.02188
2025-12-30 19:59:31.318327+00:00 BUY:MON-USDC:13291@0.02165 => SELL:MON-USDC:13291@0.02187
2025-12-30 20:00:02.882301+00:00 BUY:MON-USDC:13291@0.02164 => SELL:MON-USDC:13291@0.02186
2025-12-30 20:17:26.025758+00:00 SELL:MON-USDC:13291@0.02175 => BUY:MON-USDC:13291@0.02168
2025-12-30 20:17:26.182927+00:00 SELL:MON-USDC:13291@0.02175 => BUY:MON-USDC:13291@0.02168
2025-12-30 20:17:46.773081+00:00 SELL:MON-USDC:13291@0.02176 => BUY:MON-USDC:13291@0.02169
2025-12-30 20:17:46.941787+00:00 SELL:MON-USDC:13291@0.02176 => BUY:MON-USDC:13291@0.02169
2025-12-30 20:18:21.011460+00:00 SELL:MON-USDC:13291@0.02177 => BUY:MON-USDC:13291@0.02170
2025-12-30 20:18:21.181081+00:00 SELL:MON-USDC:13291@0.02177 => BUY:MON-USDC:13291@0.02170
2025-12-30 20:18:29.530454+00:00 SELL:MON-USDC:13291@0.02178 => BUY:MON-USDC:13291@0.02171
2025-12-30 20:18:29.713012+00:00 SELL:MON-USDC:13291@0.02178 => BUY:MON-USDC:13291@0.02171
2025-12-30 20:22:20.247127+00:00 SELL:MON-USDC:13291@0.02179 => BUY:MON-USDC:13291@0.02172
2025-12-30 20:26:04.510944+00:00 SELL:MON-USDC:13291@0.02179 => BUY:MON-USDC:13291@0.02172
2025-12-30 20:26:15.248243+00:00 SELL:MON-USDC:13291@0.0218 => BUY:MON-USDC:13291@0.02173
2025-12-30 20:31:10.024340+00:00 SELL:MON-USDC:13291@0.0218 => BUY:MON-USDC:13291@0.02173
2025-12-30 20:31:25.733277+00:00 SELL:MON-USDC:13291@0.02181 => BUY:MON-USDC:13291@0.02174
2025-12-30 20:31:25.881362+00:00 SELL:MON-USDC:13291@0.02181 => BUY:MON-USDC:13291@0.02174
2025-12-30 20:31:26.044191+00:00 SELL:MON-USDC:13291@0.02182 => BUY:MON-USDC:13291@0.02175
2025-12-30 20:31:26.206859+00:00 SELL:MON-USDC:13291@0.02182 => BUY:MON-USDC:13291@0.02175
2025-12-30 20:31:26.352038+00:00 SELL:MON-USDC:13291@0.02182 => BUY:MON-USDC:13291@0.02175
2025-12-30 20:31:26.507727+00:00 SELL:MON-USDC:13291@0.02183 => BUY:MON-USDC:13291@0.02176
2025-12-30 20:31:26.654864+00:00 SELL:MON-USDC:13291@0.02183 => BUY:MON-USDC:13291@0.02176
2025-12-30 20:31:39.464194+00:00 SELL:MON-USDC:13291@0.02184 => BUY:MON-USDC:13291@0.02177
2025-12-30 20:31:39.609731+00:00 SELL:MON-USDC:13291@0.02184 => BUY:MON-USDC:13291@0.02177
2025-12-30 20:31:40.739373+00:00 SELL:MON-USDC:13291@0.02185 => BUY:MON-USDC:13291@0.02178
2025-12-30 20:31:40.921046+00:00 SELL:MON-USDC:13291@0.02185 => BUY:MON-USDC:13291@0.02178
2025-12-30 20:31:43.469105+00:00 SELL:MON-USDC:13291@0.02187 => BUY:MON-USDC:13291@0.02180
2025-12-30 20:31:43.619793+00:00 SELL:MON-USDC:13291@0.02186 => BUY:MON-USDC:13291@0.02179
2025-12-30 20:31:43.799639+00:00 SELL:MON-USDC:13291@0.02186 => BUY:MON-USDC:13291@0.02179
2025-12-30 20:31:43.961026+00:00 SELL:MON-USDC:13291@0.02187 => BUY:MON-USDC:13291@0.02180
2025-12-30 20:31:52.474065+00:00 SELL:MON-USDC:13291@0.02188 => BUY:MON-USDC:13291@0.02181
2025-12-30 20:32:17.973071+00:00 SELL:MON-USDC:13291@0.02188 => BUY:MON-USDC:13291@0.02181
2025-12-30 20:33:23.975488+00:00 SELL:MON-USDC:13291@0.02189 => BUY:MON-USDC:13291@0.02182
2025-12-30 20:34:53.484357+00:00 BUY:MON-USDC:13291@0.02181 => SELL:MON-USDC:13291@0.02203
2025-12-30 20:34:53.679705+00:00 BUY:MON-USDC:13291@0.02181 => SELL:MON-USDC:13291@0.02203
2025-12-30 20:35:38.485842+00:00 SELL:MON-USDC:13291@0.02189 => BUY:MON-USDC:13291@0.02182
2025-12-30 20:35:38.647623+00:00 SELL:MON-USDC:13291@0.02189 => BUY:MON-USDC:13291@0.02182
2025-12-30 20:35:38.794921+00:00 SELL:MON-USDC:13291@0.0219 => BUY:MON-USDC:13291@0.02183
2025-12-30 20:38:10.946922+00:00 BUY:MON-USDC:13291@0.02183 => SELL:MON-USDC:13291@0.02205
2025-12-30 20:39:27.459523+00:00 BUY:MON-USDC:13291@0.02182 => SELL:MON-USDC:13291@0.02204
2025-12-30 20:39:27.675374+00:00 BUY:MON-USDC:13291@0.02182 => SELL:MON-USDC:13291@0.02204
2025-12-30 20:39:27.967458+00:00 BUY:MON-USDC:13291@0.0218 => SELL:MON-USDC:13291@0.02202
2025-12-30 20:39:28.133227+00:00 BUY:MON-USDC:13291@0.0218 => SELL:MON-USDC:13291@0.02202
2025-12-30 20:44:55.985505+00:00 SELL:MON-USDC:13291@0.02191 => BUY:MON-USDC:13291@0.02184
2025-12-30 20:47:39.152353+00:00 SELL:MON-USDC:13291@0.02192 => BUY:MON-USDC:13291@0.02185
2025-12-30 20:49:55.937245+00:00 SELL:MON-USDC:13291@0.02193 => BUY:MON-USDC:13291@0.02186
